"ID"	"CPT0001550001"	"CPT0001540009"	"CPT0000790001"	"CPT0000780007"	"CPT0066470004"	"CPT0066430001"	"CPT0006440003"	"CPT0006530001"	"CPT0020020001"	"CPT0019990003"
"A1BG"	0.257709797101653	-0.670364583436583	-0.606406834072997	0.580344725160076	0.089326838210724	-0.353170693708159	-0.00679594600803653	-0.180267744906311	0.0833315261592439	0.79390166277779
"A1CF"	-0.0476856131292352	0.526743251924678	0.553875566068217	-0.464729616547321	-0.313471204387969	0.667972117630726	-1.00579393215959	0.116473161301366	0.198296855653648	-0.762275061938188
"A2M"	0.983005038132465	-0.33803939529737	-0.697473057870509	-0.826182067087916	0.0842206056561429	-0.159126020370871	0.106205240608957	-0.521147057841876	-0.196176986621809	0.921681486858321
"AAAS"	-0.087995323738217	0.0020632752050028	0.0378121300089058	0.0267735479947583	0.407200589563414	-0.09998341047152	0.120562745953762	-0.071120521821358	-0.0474496243550332	0.317665300373156
"AACS"	0.37843124756614	-0.757612792994332	0.29102354756109	-0.541661040437918	-0.343901147634401	0.171847048769542	-0.669400173423295	-0.218525460070873	0.100531191325313	-0.387339168466217
"AADAT"	0.0132189990228847	-1.83215392837359	1.00549854272312	-1.75924101387314	-1.34601583635147	1.48372327761018	-1.38370085152305	0.256682779580028	0.667877710612986	-1.14064482320548
"AAGAB"	-0.101128106263906	0.141054143551002	-0.00871725898646374	-0.212933393887235	0.134772240051656	0.0548886605075941	-0.295953928841926	0.0782143526182212	-0.22671379889892	0.0157664826024136
"AAK1"	0.0471502542590029	-0.0385769911368089	0.0877270022349892	-0.310552553542234	-0.5820251213204	0.277181834943019	-0.32990926660748	0.212987876244485	0.049969214804656	-0.275734413384366
"AAMDC"	0.192505512587673	0.992002054721712	0.238280984444401	0.863331187421289	-0.0879681982160706	-0.0984643708049482	0.897839739290969	0.0101442639299572	-0.383383993066536	-0.145297374352175
"AAMP"	-0.207085082025071	0.93021581896483	-0.114463278092164	0.0434607375446538	-0.566673170575158	-0.222939858092441	0.73324768530385	-0.231899037835351	-0.161916861200837	0.296115063383967
"AAR2"	-0.210054222035323	0.308037478721025	-0.270895337946508	0.125688109467803	0.239933975060665	-0.0887777152904078	0.239721902929155	-0.189808687555535	-0.00460688834674571	0.112488314908456
"AARS"	-0.164623529840162	0.0895568248219895	-0.0542949532127316	0.343104021662354	-0.157934328049279	-0.0133539805713366	0.096106618513246	-0.192861746007819	-0.0103796347870081	0.0472385500119677
"AARS2"	-0.106431051006596	0.0441181981874615	0.164564927932001	0.379339852762668	-0.0978565593306799	0.0788469882356056	-0.287322594858574	-0.0906846342770196	0.247627492442401	0.144339354411685
"AARSD1"	-0.0490714544141557	0.489088117968594	0.00174433979707388	0.284229646310189	0.214440211590633	-0.00963784724331551	0.452541450118174	-0.0731645059848329	-0.12158455860624	0.347079776175803
"AASDHPPT"	-0.0903902859618479	0.0861091773750593	0.0708105406146101	-0.188528655248731	0.153897607155284	-0.0172136793907774	-0.0144471406739358	0.0783057613877211	-0.0210499444542474	0.0162376253214042
"AASS"	0.130587138309142	-1.57070830681348	1.24159868722355	-0.786446527771293	-0.979539363317168	0.675232515568788	-0.803563332801973	0.461100301290419	0.0752661939851795	-0.858990431559189
"AATF"	-0.323705427801277	0.233718039517924	-0.178473415090992	0.115636147135206	0.409214837884696	-0.210246096413426	0.62014676993052	-0.179067650548914	-0.133028765763315	0.129418416084483
"ABAT"	0.237081237069392	-1.930184440608	1.12140672117768	-1.32116423271983	-0.963564507774727	0.731217437168014	-1.57355427987109	0.275054770128564	0.613330313232766	-0.846886011041449
"ABCA1"	NA	NA	NA	NA	0.155303059704564	-0.521631698649894	0.485218749697571	-0.522987798867863	-0.437931615968392	0.365071088020882
"ABCA2"	0.535006118962727	-0.224416658360618	0.376315076507969	0.210707295535329	-0.263631660423799	-0.108734338656403	0.0883528096520944	-0.203182046433	-0.0419949662269396	-0.255279199091296
"ABCA6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ABCA8"	-0.0659478873570215	-1.26630466944594	0.517881857867186	0.145822902935533	-0.181701455459942	0.626355550121636	-1.01155613391463	0.18084548651226	0.451973208897692	-0.060748854432509
"ABCB1"	0.320246214582871	-0.609765962293571	1.17267304457918	-1.23773968063175	-0.808725753332895	0.845888860597972	-0.333120193817681	0.337031571411186	0.576696200870088	-0.760777813433486
"ABCB10"	-0.177655466287464	0.200839220523183	0.143302401992	0.409733751416428	-0.114203428751753	0.228703180102646	0.421544921691502	-0.214487342155773	0.100011586346317	0.0529115528280407
"ABCB6"	-0.406099463094978	0.358846265568312	-0.00541590105526839	0.42585167371339	0.491536941484076	-0.219642159146707	0.645795272738397	-0.554474213051369	-0.472427516550613	0.335512699904625
"ABCB7"	0.114210567211856	-0.137157025617638	0.478580395863039	-0.143083874326561	-0.370364374307659	0.349135842555354	-0.0287271911496031	0.0657592552652891	0.0654884645349442	-0.212922450833452
"ABCB8"	0.24930218052498	-0.756077193059637	0.548083570488306	-0.607187209285396	-0.552075856034375	0.704255518770003	-0.800876545019876	0.0694950477293916	0.239147762210176	-0.412129353951713
"ABCC1"	-0.48653393058082	-0.636614969326148	-0.728205949094696	-0.386883003462964	0.275643943900322	-0.693270893024974	-0.378945674442539	-0.709154141983618	-0.56166092258519	0.0264927385190697
"ABCC2"	0.186033592988807	-0.78245152088836	1.01392806814892	-1.07794550183907	-1.02613219925365	0.660883328442384	-1.27561603540373	0.07080356980427	0.355228658460088	-0.725540174954009
